,expression,reading,meaning
173,かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)"
174,紙,かみ,paper
175,カメラ,カメラ,camera
176,火曜日,かようび,Tuesday
177,辛い,からい,hot and spicy; salty
178,体,からだ,body; health
179,借りる,かりる,"to borrow, to owe"
180,～がる,～がる,feel
181,軽い,かるい,"light, non-serious, minor"
182,カレー,カレー,curry (abbr. for curry and rice)
183,カレンダー,カレンダー,calendar
184,川; 河,かわ,river
185,～側,～がわ,~ side
186,可愛い,かわいい,"cute, adorable"
187,漢字,かんじ,kanji; Chinese character
188,木,き,"tree, wood, timber"
189,黄色,きいろ,yellow
190,黄色い,きいろい,yellow
191,消える,きえる,"to vanish, to disappear"
192,聞く,きく,"to hear, to listen, to ask"
193,北,きた,north
194,ギター,ギター,guitar
195,汚い,きたない,"dirty, unclean, filthy"
196,喫茶店,きっさてん,café
197,切手,きって,postal (postage) stamps
198,切符,きっぷ,a ticket
199,昨日,きのう,yesterday
200,九,きゅう,nine
201,牛肉,ぎゅうにく,beef
202,牛乳,ぎゅうにゅう,milk
203,今日,きょう,"today, this day"
204,教室,きょうしつ,classroom
205,兄弟,きょうだい,"siblings (humble), brothers and sisters"
206,去年,きょねん,last year
207,嫌い,きらい,dislike
208,切る,きる,to cut; to hang up (a phone)
209,着る,きる,to put on (clothes above your waist); to wear
210,綺麗,きれい,"pretty, clean, tidy"
211,キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram)
212,キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer)
213,銀行,ぎんこう,bank
214,金曜日,きんようび,Friday
215,九,く,nine
216,薬,くすり,medicine
217,下さい,ください,(with te-form verb) please do for me
218,果物,くだもの,fruit
219,口,くち,job opening; mouth
220,靴,くつ,"shoes, footwear"
221,靴下,くつした,socks
222,国,くに,country; place of origin
223,曇り,くもり,"cloudiness, cloudy weather"
224,曇る,くもる,"to become cloudy, to become dim"
225,暗い,くらい,"dark, gloomy"
226,～くらい; ぐらい,～くらい; ぐらい,approximate (quantity)
227,クラス,クラス,a class
228,グラム,グラム,gram
229,来る,くる,to come
230,車,くるま,"car, vehicle"
231,黒,くろ,black
232,黒い,くろい,black; dark
